Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-03-29,50.200655,50.0974387,49.778406499999996,50.106822,,668745
2012-03-30,50.5384538,50.322637900000004,50.1537385,50.1912717,,451445
2012-04-02,50.4352375,50.4258542,49.9097727,50.0599055,,475315
2012-04-03,50.4727707,50.0880554,49.881622799999995,50.4727707,,515595
2012-04-04,50.1443552,50.0223723,49.881622799999995,49.9660725,,394191
2012-04-05,49.9942224,49.9003894,49.543823999999994,49.9566892,,406640
2012-04-09,49.712723399999994,49.6282737,49.449991000000004,49.6001238,,222515
2012-04-10,49.7033401,49.6658069,49.515674100000005,49.618890400000005,,503159
2012-04-11,50.2569548,49.7408733,49.712723399999994,49.8722395,,511374
2012-04-12,49.9379226,49.919156,49.6282737,49.7502566,,321842
2012-04-13,50.2663381,49.9566892,49.7877898,49.7877898,,332332
2012-04-16,50.3601711,50.200655,49.8722395,50.0036057,,371129
2012-04-17,50.6604367,50.4633874,50.1255886,50.3132546,,312628
2012-04-18,50.444620799999996,50.275721399999995,50.1349719,50.4070876,,264016
2012-04-19,50.716736499999996,50.482153999999994,50.1912717,50.200655,,411533
2012-04-20,50.857486,50.6604367,50.5196872,50.5666037,,602641
2012-04-23,48.783776700000004,47.573331,47.5451811,48.5867274,,1746230
2012-04-24,47.798530199999995,47.3199819,47.197998999999996,47.5545644,,892304
2012-04-25,47.704697200000005,47.3762817,47.2261489,47.5076479,,706623
2012-04-26,48.042496,47.2073823,47.0009497,47.8923632,,731954
2012-04-27,47.4044316,47.244915500000005,46.963416499999994,47.2824487,,714532
2012-04-30,47.4888813,47.4513481,47.1698491,47.2542988,,587814
2012-05-01,47.4982646,46.9165,46.9165,47.4513481,,758887
2012-05-02,47.4513481,47.4325815,46.869583500000005,46.9446499,,691662
2012-05-03,47.7703803,47.6202475,47.244915500000005,47.4888813,,664107
2012-05-04,47.7703803,47.2824487,47.2824487,47.573331,,447435
2012-05-07,47.4701147,47.4044316,47.2167656,47.3105986,1647,406705
2012-05-08,47.6296308,47.6202475,47.1229326,47.3293652,1984,636221
2012-05-09,47.845446700000004,47.6296308,47.3199819,47.3950483,2398,501874
2012-05-10,47.911129800000005,47.7891469,47.6108642,47.6859306,1486,336913
2012-05-11,48.004962799999994,47.845446700000004,47.5639477,47.6202475,1499,396031
2012-05-14,47.901746499999994,47.8172968,47.479498,47.6108642,1312,330040
2012-05-15,47.9205131,47.8360634,47.5639477,47.85483,1811,424945
2012-05-16,47.873596600000006,47.7891469,47.5827143,47.8172968,1949,539141
2012-05-17,47.911129800000005,47.5827143,47.5827143,47.845446700000004,1436,319952
2012-05-18,47.7140805,47.2636821,47.066632799999994,47.704697200000005,1933,708629
2012-05-21,47.3481318,47.2636821,46.963416499999994,47.3481318,1358,269037
2012-05-22,47.5827143,47.291832,47.197998999999996,47.4982646,1373,462831
2012-05-23,47.3668984,47.010333,46.822666999999996,47.2636821,1665,404764
2012-05-24,47.244915500000005,47.104166,46.7851338,47.0197163,1888,449841
2012-05-25,47.2355322,47.1698491,46.935266600000006,47.104166,1741,404712
2012-05-29,47.5639477,47.3668984,47.3199819,47.4231982,1400,341997
2012-05-30,47.197998999999996,46.3159688,46.3159688,46.8414336,2026,827324
2012-05-31,46.447335,45.7717374,45.7717374,46.3910352,2544,1120821
2012-06-01,45.7435875,45.2462726,45.227506000000005,45.5746881,2344,661565
2012-06-04,45.368255500000004,45.283805799999996,45.0492233,45.2462726,1537,376285
2012-06-05,45.4620885,45.2462726,44.9272404,45.0492233,1596,385701
2012-06-06,45.509005,45.387022099999996,45.124289700000006,45.3588722,1265,396754
2012-06-07,45.6403712,45.415172,45.4057887,45.6309879,1266,353804
2012-06-08,45.6309879,45.6309879,45.3588722,45.387022099999996,1026,413359
2012-06-11,45.9031036,45.5277716,45.490238399999996,45.9031036,1445,399115
2012-06-12,45.5934547,45.4057887,45.2931891,45.509005,1344,323498
2012-06-13,45.5653048,45.3964054,45.2744225,45.3494889,1062,265745
2012-06-14,46.1095362,46.100152900000005,45.4527052,45.4527052,2120,575164
2012-06-15,46.2972022,46.2127525,46.034469800000004,46.034469800000004,1233,648160
2012-06-18,46.5693179,46.353502,46.193985899999994,46.2690523,1073,239561
2012-06-19,46.6913008,46.541168,46.306585500000004,46.5787012,1020,258603
2012-06-20,46.5880845,46.3910352,46.090769599999994,46.4567183,1254,436527
2012-06-21,46.6256177,45.7998873,45.7811207,46.6256177,1494,443077
2012-06-22,46.0438531,45.950020099999996,45.6497545,45.828037200000004,1049,466804
2012-06-25,45.931253500000004,45.7248209,45.5934547,45.7529708,1289,294782
2012-06-26,45.6872877,45.4527052,45.1993561,45.6403712,1235,341572
2012-06-27,45.7342042,45.696671,45.3964054,45.4620885,952,277566
2012-06-28,45.8749537,45.8749537,45.4527052,45.5840714,1749,475453
2012-06-29,46.3910352,46.2878189,46.1189195,46.1376861,1565,605910
2012-07-02,46.4661016,46.4004185,45.9594034,45.9594034,2026,479450
2012-07-03,46.4848682,46.4848682,46.259668999999995,46.447335,877,211115
2012-07-05,46.6819175,46.4379517,46.2315191,46.4942515,1680,460794
